timestamp,position,in_pit,pit_out,lap_number
00:00:04.334,14,True,False,
00:00:06.052,,,,
00:14:19.766,15,,,
00:14:36.906,16,,,
00:14:47.837,17,,,
00:15:01.053,,,,
00:15:01.064,9,False,True,1.0
00:15:29.197,,,,
00:15:29.197,,,,
00:15:29.213,,,,
00:15:35.022,,,,
00:15:40.073,,,,
00:15:44.790,,,,
00:15:47.975,,,,
00:15:52.283,,,,
00:15:58.455,,,,
00:15:58.718,,,False,
00:16:01.531,,,,
00:16:05.491,,,,
00:16:08.451,,,,
00:16:12.063,,,,
00:16:16.599,,,,
00:16:22.855,,,,
00:16:27.168,,,,
00:16:31.938,,,,
00:16:38.107,,,,
00:16:38.451,,,,
00:16:39.436,,,,
00:16:43.140,,,,
00:16:47.954,,,,
00:16:55.029,,,,
00:16:56.024,,,,
00:16:59.100,,,,
00:17:03.637,,,,
00:17:06.665,,,,
00:17:10.113,,,,
00:17:10.793,,,,
00:17:10.793,,,,
00:17:10.879,,,,2.0
00:17:13.591,,,,
00:17:14.139,,,,
00:17:15.659,,,,
00:17:19.780,,,,
00:17:23.538,,,,
00:17:27.300,,,,
00:17:30.638,,,,
00:17:32.918,,,,
00:17:36.307,,,,
00:17:41.721,,,,
00:17:42.026,,,,
00:17:44.468,,,,
00:17:45.817,,,,
00:17:48.190,,,,
00:17:50.953,,,,
00:17:54.294,,,,
00:17:57.876,,,,
00:18:03.354,,,,
00:18:06.753,,,,
00:18:11.338,,,,
00:18:16.592,,,,
00:18:16.790,,,,
00:18:17.951,,,,
00:18:20.329,,,,
00:18:25.214,,,,
00:18:29.232,,,,
00:18:29.590,,,,
00:18:31.402,,,,
00:18:35.604,,,,
00:18:38.490,,,,
00:18:41.879,,,,
00:18:42.550,8,,,3.0
00:18:42.578,,,,
00:18:42.740,,,,
00:18:45.517,,,,
00:18:47.927,,,,
00:18:48.539,9,,,
00:18:53.696,,,,
00:18:59.407,,,,
00:19:01.013,10,,,
00:19:06.238,,,,
00:19:12.751,11,,,
00:19:13.067,,,,
00:19:17.177,,,,
00:19:21.476,12,,,
00:19:24.541,,,,
00:19:30.072,13,,,
00:19:31.604,,,,
00:19:31.822,,,,
00:19:35.907,,,,
00:19:35.944,,,,
00:19:41.655,14,,,
00:19:42.754,,,,
00:19:46.378,15,,,
00:19:47.827,,,,
00:19:54.214,,,,
00:20:02.783,,,,
00:20:11.301,,,,
00:20:15.951,,,,
00:20:21.695,,,,
00:20:27.879,16,,,
00:20:29.076,,,,
00:20:29.338,,,,
00:20:31.009,,,,
00:20:36.376,,,,
00:20:47.501,,,,
00:20:56.649,,,,
00:20:57.350,,,,
00:20:59.917,,,,
00:21:04.960,,,,
00:21:08.066,,,,
00:21:11.350,,,,
00:21:12.829,,,,4.0
00:21:12.839,,,,
00:21:14.954,,,,
00:21:15.993,,,,
00:21:16.987,,,,
00:21:20.986,,,,
