timestamp,driver_number,lap_time,fastest,personal_fastest
00:17:40.170,10,1:30.189,True,True
00:17:47.739,81,1:30.059,True,True
00:17:56.775,5,1:32.827,False,True
00:18:04.456,16,1:31.517,False,True
00:18:11.213,55,1:30.531,False,True
00:18:17.951,23,1:30.740,False,True
00:18:28.544,6,1:31.632,False,True
00:18:34.566,87,1:31.791,False,True
00:18:42.550,30,1:31.852,False,True
00:18:48.539,7,1:30.659,False,True
00:19:01.013,1,1:29.808,True,True
00:19:12.751,22,1:30.513,False,True
00:19:21.476,31,1:31.726,False,True
00:19:30.072,12,1:30.947,False,True
00:19:41.655,44,1:30.967,False,True
00:19:46.378,27,1:31.308,False,True
00:20:11.268,10,2:30.689,False,False
00:20:16.492,81,2:28.750,False,False
00:20:23.817,5,2:27.011,False,False
00:20:27.879,63,1:29.798,True,True
00:20:32.617,16,2:27.964,False,False
00:20:40.541,18,2:09.912,False,False
00:20:42.929,55,2:31.645,False,False
00:20:51.667,6,2:22.984,False,False
00:20:57.466,23,2:39.503,False,False
00:21:02.173,4,2:33.582,False,False
00:21:06.087,14,2:22.821,False,False
00:21:10.854,87,2:36.317,False,False
00:21:12.829,30,2:29.480,False,False
00:21:28.211,7,2:39.551,False,False
00:21:37.195,1,2:35.985,False,False
00:21:46.117,81,1:29.660,True,True
00:21:48.205,22,2:35.914,False,False
00:21:53.032,31,2:31.382,False,False
00:21:55.528,5,1:31.756,False,True
00:22:02.042,16,1:29.615,True,True
00:22:04.454,12,2:34.441,False,False
00:22:13.950,55,1:29.198,True,True
00:22:14.266,44,2:32.499,False,False
00:22:18.576,27,2:31.983,False,False
00:22:20.717,10,2:10.220,False,False
00:22:21.576,6,1:29.990,False,True
00:22:26.608,23,1:29.220,False,True
00:22:32.377,4,1:30.316,False,True
00:22:42.562,30,1:30.424,False,True
00:22:54.008,18,2:13.547,False,False
00:23:01.751,63,2:33.823,False,False
00:23:05.686,1,1:28.634,True,True
