timestamp,driver_number,type,speed,fastest,personal_fastest
00:21:23.742,1,ST,288,False,False
00:21:25.867,63,I1,132,False,False
00:21:27.711,23,I1,217,False,True
00:21:29.070,5,I2,188,False,True
00:21:32.320,4,I1,217,False,False
00:21:33.445,81,ST,332,False,False
00:21:33.711,22,ST,154,False,False
00:21:34.086,27,I2,131,False,False
00:21:36.711,31,ST,234,False,False
00:21:36.930,16,I2,188,False,True
00:21:37.211,12,ST,177,False,False
00:21:38.695,18,I1,193,False,True
00:21:41.633,5,ST,336,True,True
00:21:42.867,30,I1,213,False,True
00:21:45.414,44,I2,127,False,False
00:21:46.351,10,I2,168,False,False
00:21:47.148,55,I2,188,False,True
00:21:49.551,16,ST,332,False,True
00:21:56.164,6,I2,187,False,True
00:21:59.554,55,ST,338,True,True
00:21:59.720,27,ST,105,False,False
00:22:00.325,44,ST,248,False,False
00:22:01.604,23,I2,189,False,True
00:22:05.454,14,I1,175,False,False
00:22:06.628,1,I1,219,False,True
00:22:06.798,4,I2,187,False,True
00:22:07.371,10,ST,225,False,False
00:22:08.893,6,ST,333,False,True
00:22:14.266,23,ST,337,False,True
00:22:14.928,7,I1,151,False,False
00:22:16.954,30,I2,188,False,True
00:22:17.966,22,I1,215,False,False
00:22:19.650,4,ST,320,False,True
00:22:20.044,63,I2,116,False,False
00:22:20.858,18,I2,173,False,False
00:22:23.291,31,I1,216,False,True
00:22:29.781,30,ST,331,False,True
00:22:34.095,81,I1,163,False,False
00:22:34.317,18,ST,221,False,False
00:22:40.414,1,I2,186,False,True
00:22:41.751,63,ST,179,False,False
00:22:44.123,44,I1,216,False,True
00:22:44.740,5,I1,120,False,False
00:22:47.617,14,I2,149,False,True
00:22:52.506,22,I2,185,False,False
00:22:53.106,1,ST,335,False,True
00:22:57.462,31,I2,188,False,True
00:22:58.213,87,I1,162,False,False
00:22:58.543,16,I1,111,False,False
00:22:59.339,7,I2,163,False,False
00:23:00.677,10,I1,163,False,False
00:23:00.999,14,ST,276,False,False
00:23:02.478,27,I1,150,False,False
00:23:05.151,22,ST,336,False,True
00:23:05.668,12,I1,159,False,False
00:23:07.633,55,I1,129,False,False
00:23:09.998,31,ST,333,False,True
00:23:15.245,6,I1,122,False,False
00:23:17.308,7,ST,299,False,False
00:23:18.324,44,I2,189,False,True
00:23:18.980,4,I1,120,False,False
00:23:22.513,23,I1,135,False,False
00:23:24.404,81,I2,119,False,False
00:23:31.144,44,ST,331,False,True
00:23:40.975,30,I1,96,False,False
00:23:40.989,5,I2,147,False,False
00:23:42.468,87,I2,142,False,False
00:23:43.555,81,ST,212,False,False
00:23:47.777,10,I2,93,False,False
00:23:50.755,12,I2,120,False,False
00:23:52.594,63,I1,139,False,False
00:23:52.666,27,I2,145,False,False
00:23:57.177,5,ST,206,False,False
00:24:00.009,87,ST,120,False,False
00:24:02.630,7,I1,219,False,True
00:24:03.114,16,I2,116,False,False
00:24:03.277,1,I1,97,False,False
00:24:04.542,55,I2,142,False,False
00:24:05.398,10,ST,245,False,False
00:24:05.992,22,I1,124,False,False
00:24:09.818,6,I2,111,False,False
00:24:11.779,12,ST,77,False,False
00:24:12.152,18,I1,182,False,False
00:24:14.005,31,I1,127,False,False
00:24:14.141,4,I2,125,False,False
00:24:15.492,23,I2,118,False,False
00:24:15.990,27,ST,126,False,False
00:24:20.039,16,ST,122,False,False
00:24:22.192,55,ST,145,False,False
00:24:30.594,6,ST,145,False,False
00:24:33.403,4,ST,127,False,False
00:24:36.614,23,ST,147,False,False
00:24:37.251,7,I2,187,False,True
00:24:40.178,14,I1,166,False,False
00:24:41.618,5,I1,212,False,False
00:24:41.677,63,I2,78,False,False
00:24:44.856,30,I2,82,False,False
00:24:45.767,87,I1,217,False,True
00:24:49.592,18,I2,178,False,True
00:24:49.818,7,ST,332,False,True
00:24:50.892,44,I1,90,False,False
00:24:50.978,10,I1,218,False,True
00:24:52.155,81,I1,93,False,False
00:24:57.520,12,I1,220,True,True
00:24:59.129,63,ST,290,False,False
00:25:03.052,30,ST,194,False,False
00:25:06.293,1,I2,120,False,False
00:25:07.439,16,I1,216,False,True
00:25:08.355,18,ST,162,False,False
00:25:11.055,22,I2,87,False,False
00:25:12.577,31,I2,123,False,False
00:25:16.402,5,I2,188,False,False
00:25:19.128,4,I1,214,False,False
00:25:20.220,87,I2,188,False,True
00:25:23.829,14,I2,95,False,False
00:25:24.908,1,ST,191,False,False
00:25:25.078,10,I2,187,False,True
00:25:29.152,5,ST,315,False,False
00:25:31.255,12,I2,191,True,True
00:25:32.831,87,ST,329,False,True
00:25:34.428,6,I1,153,False,False
00:25:34.899,31,ST,181,False,False
00:25:36.146,22,ST,116,False,False
00:25:37.668,10,ST,335,False,True
00:25:40.094,81,I2,105,False,False
00:25:41.393,16,I2,189,False,True
00:25:43.094,63,I1,217,False,True
00:25:43.892,12,ST,336,False,True
00:25:45.892,55,I1,169,False,False
00:25:47.545,14,ST,241,False,False
00:25:49.723,30,I1,210,False,False
00:25:52.355,7,I1,158,False,False
00:25:53.079,4,I2,188,False,True
00:25:54.023,16,ST,332,False,True
00:25:57.250,18,I1,218,False,True
00:26:01.555,81,ST,208,False,False
00:26:05.480,23,I1,149,False,False
00:26:05.641,4,ST,329,False,True
00:26:08.854,44,I2,106,False,False
00:26:16.040,63,I2,190,False,True
00:26:21.829,6,I2,113,False,False
00:26:23.815,30,I2,187,False,False
00:26:24.721,44,ST,274,False,False
00:26:28.608,63,ST,335,False,True
00:26:29.811,55,I2,119,False,False
00:26:31.749,18,I2,188,False,True
00:26:33.436,14,I1,220,False,True
00:26:36.702,30,ST,331,False,False
00:26:38.389,6,ST,284,False,False
00:26:41.578,87,I1,124,False,False
00:26:42.210,7,I2,118,False,False
00:26:44.368,18,ST,334,False,True
00:26:44.719,10,I1,125,False,False
00:26:44.746,81,I1,215,False,False
00:26:46.704,55,ST,309,False,False
00:26:47.668,1,I1,150,False,False
00:26:48.333,12,I1,139,False,False
00:26:53.507,23,I2,82,False,False
00:27:01.694,16,I1,104,False,False
00:27:01.883,7,ST,187,False,False
00:27:04.578,4,I1,117,False,False
00:27:06.231,22,I1,115,False,False
00:27:07.716,14,I2,190,False,True
00:27:08.458,44,I1,219,False,True
00:27:11.709,31,I1,162,False,False
00:27:11.730,23,ST,289,False,False
00:27:18.511,81,I2,190,False,True
00:27:20.397,14,ST,332,False,True
00:27:23.166,6,I1,215,False,False
00:27:31.221,81,ST,331,False,False
00:27:33.040,55,I1,180,False,False
00:27:33.478,1,I2,150,False,False
00:27:36.119,12,I2,123,False,False
00:27:38.180,63,I1,94,False,False
00:27:39.551,87,I2,122,False,False
00:27:41.233,30,I1,120,False,False
00:27:41.243,10,I2,116,False,False
00:27:42.494,44,I2,189,False,True
00:27:43.240,18,I1,138,False,False
00:27:51.094,1,ST,260,False,False
00:27:54.906,23,I1,221,True,True
00:27:55.216,44,ST,330,False,False
00:27:56.720,12,ST,192,False,False
00:27:57.337,6,I2,188,False,True
00:27:58.384,87,ST,177,False,False
00:28:00.259,22,I2,110,False,False
00:28:01.757,7,I1,161,False,False
00:28:01.826,10,ST,169,False,False
00:28:02.703,4,I2,116,False,False
00:28:04.278,31,I2,131,False,False
00:28:10.269,6,ST,329,False,False
00:28:12.756,16,I2,81,False,False
00:28:17.840,22,ST,267,False,False
00:28:21.656,4,ST,143,False,False
00:28:22.783,81,I1,178,False,False
00:28:25.156,14,I1,179,False,False
00:28:25.367,31,ST,111,False,False
00:28:28.710,23,I2,189,False,False
00:28:31.431,55,I2,80,False,False
00:28:33.852,1,I1,218,False,False
00:28:36.656,18,I2,113,False,False
00:28:41.362,30,I2,87,False,False
00:28:41.366,16,ST,92,False,False
00:28:41.370,23,ST,331,False,False
00:28:46.241,63,I2,79,False,False
00:28:50.500,7,I2,131,False,False
00:28:53.301,55,ST,205,False,False
00:28:58.810,18,ST,155,False,False
00:29:01.456,22,I1,220,False,True
00:29:02.406,30,ST,131,False,False
00:29:04.234,81,I2,132,False,False
00:29:07.642,1,I2,186,False,False
00:29:08.322,4,I1,219,False,True
00:29:11.346,7,ST,62,False,False
00:29:12.820,10,I1,129,False,False
00:29:14.943,31,I1,220,False,True
00:29:16.194,44,I1,69,False,False
00:29:19.270,6,I1,141,False,False
00:29:20.399,1,ST,332,False,False
00:29:20.543,14,I2,105,False,False
00:29:22.468,63,ST,243,False,False
00:29:24.613,81,ST,188,False,False
00:29:32.003,16,I1,154,False,False
00:29:33.481,12,I1,158,False,False
00:29:35.555,22,I2,190,False,True
00:29:38.216,55,I1,218,False,False
00:29:40.261,14,ST,272,False,False
00:29:42.097,4,I2,188,False,False
00:29:43.050,87,I1,153,False,False
00:29:47.143,18,I1,215,False,False
00:29:48.069,22,ST,334,False,False
00:29:49.157,31,I2,190,False,True
00:29:49.613,23,I1,155,False,False
00:29:54.700,4,ST,330,False,True
00:29:59.059,7,I1,216,False,False
00:30:01.680,31,ST,334,False,True
00:30:02.979,10,I2,145,False,False
00:30:05.895,63,I1,219,False,True
00:30:11.256,6,I2,110,False,False
00:30:12.887,55,I2,187,False,False
00:30:12.887,1,I1,191,False,False
00:30:14.231,30,I1,183,False,False
00:30:17.094,10,ST,290,False,False
00:30:18.957,16,I2,85,False,False
00:30:21.009,12,I2,125,False,False
00:30:21.689,18,I2,188,False,False
00:30:24.573,14,I1,216,False,False
00:30:24.694,55,ST,336,False,False
00:30:28.079,44,I2,119,False,False
00:30:28.448,6,ST,181,False,False
00:30:30.279,87,I2,137,False,False
00:30:33.479,7,I2,185,False,False
00:30:34.293,18,ST,332,False,False
00:30:36.633,16,ST,154,False,False
00:30:38.005,23,I2,111,False,False
00:30:40.421,63,I2,191,False,True
00:30:41.893,12,ST,84,False,False
00:30:42.900,22,I1,152,False,False
00:30:45.979,7,ST,331,False,False
00:30:46.182,4,I1,169,False,False
00:30:47.647,44,ST,95,False,False
00:30:50.365,87,ST,63,False,False
00:30:51.493,1,I2,179,False,False
00:30:52.206,63,ST,337,False,True
00:30:52.835,31,I1,181,False,False
00:30:55.158,23,ST,213,False,False
00:30:55.656,30,I2,150,False,False
00:30:58.968,14,I2,190,False,False
00:31:00.568,10,I1,217,False,False
00:31:05.522,1,ST,233,False,False
00:31:10.459,30,ST,287,False,False
00:31:11.457,14,ST,334,False,True
00:31:13.005,6,I1,212,False,False
00:31:21.479,16,I1,215,False,False
00:31:29.979,12,I1,218,False,False
00:31:30.069,22,I2,128,False,False
00:31:30.194,4,I2,170,False,False
00:31:34.631,10,I2,189,False,True
00:31:36.094,44,I1,216,False,False
00:31:36.968,55,I1,104,False,False
00:31:40.479,87,I1,217,False,False
00:31:40.498,31,I2,141,False,False
00:31:44.317,4,ST,241,False,False
00:31:47.110,6,I2,188,False,True
00:31:47.110,10,ST,331,False,False
00:31:48.493,63,I1,169,False,False
00:31:48.862,18,I1,137,False,False
00:31:49.442,22,ST,205,False,False
00:31:50.856,7,I1,131,False,False
00:31:53.334,30,I1,217,False,True
00:31:55.445,16,I2,186,False,False
00:31:59.698,6,ST,329,False,False
00:32:00.156,31,ST,159,False,False
00:32:03.967,12,I2,190,False,False
00:32:08.280,16,ST,329,False,False
00:32:10.495,44,I2,189,False,True
00:32:11.516,14,I1,155,False,False
00:32:13.966,87,I2,189,False,True
00:32:16.451,12,ST,334,False,False
00:32:22.579,44,ST,330,False,False
00:32:24.409,23,I1,153,False,False
00:32:26.501,87,ST,334,False,True
00:32:27.386,30,I2,188,False,True
00:32:31.542,63,I2,155,False,False
00:32:37.862,18,I2,134,False,False
00:32:40.520,30,ST,329,False,False
00:32:46.060,55,I2,139,False,False
00:32:46.157,63,ST,269,False,False
00:32:46.733,10,I1,165,False,False
00:32:48.397,7,I2,106,False,False
00:32:52.742,18,ST,196,False,False
00:32:55.920,14,I2,135,False,False
00:33:00.293,16,I1,178,False,False
00:33:07.035,55,ST,267,False,False
00:33:07.168,6,I1,131,False,False
00:33:07.434,23,I2,122,False,False
00:33:11.821,14,ST,186,False,False
00:33:13.557,7,ST,130,False,False
00:33:19.149,87,I1,192,False,False
00:33:21.531,23,ST,313,False,False
00:33:22.468,12,I1,137,False,False
00:33:30.070,10,I2,145,False,False
00:33:30.632,30,I1,186,False,False
00:33:35.601,44,I1,61,False,False
00:33:43.094,16,I2,118,False,False
00:33:46.157,10,ST,209,False,False
00:33:56.781,55,I1,162,False,False
00:33:57.098,6,I2,121,False,False
00:33:59.957,87,I2,160,False,False
00:34:04.080,16,ST,198,False,False
00:34:04.243,23,I1,218,False,False
00:34:11.341,30,I2,147,False,False
00:34:13.866,6,ST,255,False,False
