timestamp,utc,driver_number,rpm,speed,gear,throttle,brake,drs
00:03:43.409,2025-05-02T16:19:28.0195111Z,27,0,0,0,0,0,0
00:03:43.409,2025-05-02T16:19:28.2994699Z,27,0,0,0,0,0,0
00:03:43.409,2025-05-02T16:19:28.4594456Z,27,0,0,0,0,0,0
00:03:44.329,2025-05-02T16:19:28.6594158Z,27,0,0,0,0,0,0
00:03:44.329,2025-05-02T16:19:28.8993803Z,27,0,0,0,0,0,0
00:03:44.329,2025-05-02T16:19:29.1793389Z,27,0,0,0,0,0,0
00:03:44.329,2025-05-02T16:19:29.3793088Z,27,0,0,0,0,0,0
00:03:45.529,2025-05-02T16:19:29.5792788Z,27,0,0,0,0,0,0
00:03:45.529,2025-05-02T16:19:29.8192435Z,27,0,0,0,0,0,0
00:03:45.529,2025-05-02T16:19:30.1791906Z,27,0,0,0,0,0,0
00:03:45.529,2025-05-02T16:19:30.3391669Z,27,0,0,0,0,0,0
00:03:45.529,2025-05-02T16:19:30.5791307Z,27,0,0,0,0,0,0
00:03:46.289,2025-05-02T16:19:30.739107Z,27,0,0,0,0,0,0
00:03:46.289,2025-05-02T16:19:31.0190656Z,27,0,0,0,0,0,0
00:03:46.289,2025-05-02T16:19:31.1790419Z,27,0,0,0,0,0,0
00:03:46.289,2025-05-02T16:19:31.3390179Z,27,0,0,0,0,0,0
00:03:47.608,2025-05-02T16:19:31.738958Z,27,0,0,0,0,0,0
00:03:47.608,2025-05-02T16:19:31.9789225Z,27,0,0,0,0,0,0
00:03:47.608,2025-05-02T16:19:32.218887Z,27,0,0,0,0,0,0
00:03:47.608,2025-05-02T16:19:32.658821Z,27,0,0,0,0,0,0
00:03:48.408,2025-05-02T16:19:32.9387798Z,27,0,0,0,0,0,0
00:03:48.408,2025-05-02T16:19:33.2987269Z,27,0,0,0,0,0,0
00:03:48.408,2025-05-02T16:19:33.4587026Z,27,0,0,0,0,0,0
00:03:49.489,2025-05-02T16:19:33.6586728Z,27,0,0,0,0,0,0
00:03:49.489,2025-05-02T16:19:33.8186492Z,27,0,0,0,0,0,0
00:03:49.489,2025-05-02T16:19:34.0186196Z,27,0,0,0,0,0,0
00:03:49.489,2025-05-02T16:19:34.1785959Z,27,0,0,0,0,0,0
00:03:49.489,2025-05-02T16:19:34.5395415Z,27,0,0,0,0,0,0
00:03:50.449,2025-05-02T16:19:34.9394827Z,27,0,0,0,0,0,0
00:03:50.449,2025-05-02T16:19:35.0994592Z,27,0,0,0,0,0,0
00:03:50.449,2025-05-02T16:19:35.3394237Z,27,0,0,0,0,0,0
00:03:50.449,2025-05-02T16:19:35.4993994Z,27,0,0,0,0,0,0
00:03:51.289,2025-05-02T16:19:35.7793579Z,27,0,0,0,0,0,0
00:03:51.289,2025-05-02T16:19:36.0193224Z,27,0,0,0,0,0,0
00:03:51.289,2025-05-02T16:19:36.3392747Z,27,0,0,0,0,0,0
00:03:52.609,2025-05-02T16:19:36.6992208Z,27,0,0,0,0,0,0
00:03:52.609,2025-05-02T16:19:36.9791793Z,27,0,0,0,0,0,0
00:03:52.609,2025-05-02T16:19:37.2191438Z,27,0,0,0,0,0,0
00:03:52.609,2025-05-02T16:19:37.6590778Z,27,0,0,0,0,0,0
00:03:53.528,2025-05-02T16:19:37.8590484Z,27,0,0,0,0,0,0
00:03:53.528,2025-05-02T16:19:38.0190249Z,27,0,0,0,0,0,0
00:03:53.528,2025-05-02T16:19:38.2589896Z,27,0,0,0,0,0,0
00:03:53.528,2025-05-02T16:19:38.5789415Z,27,0,0,0,0,0,0
00:03:54.528,2025-05-02T16:19:38.9788823Z,27,0,0,0,0,0,0
00:03:54.528,2025-05-02T16:19:39.1788527Z,27,0,0,0,0,0,0
00:03:54.528,2025-05-02T16:19:39.3788226Z,27,0,0,0,0,0,0
00:03:54.528,2025-05-02T16:19:39.5787925Z,27,0,0,0,0,0,0
00:03:55.328,2025-05-02T16:19:39.8587511Z,27,0,0,0,0,0,0
00:03:55.328,2025-05-02T16:19:40.1387096Z,27,0,0,0,0,0,0
00:03:55.328,2025-05-02T16:19:40.3786736Z,27,0,0,0,0,0,0
00:03:56.529,2025-05-02T16:19:40.698626Z,27,0,0,0,0,0,0
00:03:56.529,2025-05-02T16:19:40.8586024Z,27,0,0,0,0,0,0
00:03:56.529,2025-05-02T16:19:41.1395611Z,27,0,0,0,0,0,0
00:03:56.529,2025-05-02T16:19:41.2995376Z,27,0,0,0,0,0,0
00:03:56.529,2025-05-02T16:19:41.5794954Z,27,0,0,0,0,0,0
00:03:57.489,2025-05-02T16:19:41.9794362Z,27,0,0,0,0,0,0
00:03:57.489,2025-05-02T16:19:42.2993886Z,27,0,0,0,0,0,0
00:03:57.489,2025-05-02T16:19:42.5393523Z,27,0,0,0,0,0,0
00:03:58.369,2025-05-02T16:19:42.779317Z,27,0,0,0,0,0,0
00:03:58.369,2025-05-02T16:19:42.9392935Z,27,0,0,0,0,0,0
00:03:58.369,2025-05-02T16:19:43.1392641Z,27,0,0,0,0,0,0
00:03:58.369,2025-05-02T16:19:43.4192224Z,27,0,0,0,0,0,0
00:03:59.209,2025-05-02T16:19:43.6991806Z,27,0,0,0,0,0,0
00:03:59.209,2025-05-02T16:19:43.899151Z,27,0,0,0,0,0,0
00:03:59.209,2025-05-02T16:19:44.2590977Z,27,0,0,0,0,0,0
00:04:00.448,2025-05-02T16:19:44.899002Z,27,0,0,0,0,0,0
